timestamp,x,y,z
2.67,-0.077672,-0.037292,0.995772
2.68,0.041456,0.057679,0.991626
2.69,0.046161,-0.005719,0.962085
2.7,-0.065626,-0.053557,0.985428
2.71,-0.023015,0.045373,1.000346
2.72,0.0574,0.01946,0.965787
2.73,-0.013387,-0.044804,0.967712
2.74,-0.077655,-0.012691,1.005374
2.75,0.057729,0.049538,0.982909
2.76,0.033195,-0.03642,0.962582
2.77,-0.07421,-0.051825,0.984407
2.78,0.00956,0.066876,0.998578
2.79,0.048437,0.00224,0.968977
2.8,-0.034504,-0.046255,0.967511
2.81,-0.053616,0.028566,1.002739
2.82,0.072327,0.040092,0.968577
2.83,0.004884,-0.044429,0.9638
2.84,-0.059396,-0.029409,0.997114
2.85,0.050302,0.051501,0.99267
2.86,0.051681,-0.012713,0.960703
2.87,-0.046352,-0.055465,0.973964
2.88,-0.021257,0.060296,0.999894
2.89,0.060925,0.013676,0.964929
2.9,-0.022198,-0.042076,0.961656
2.91,-0.070958,0.008029,1.005208
2.92,0.044262,0.04621,0.977312
2.93,0.021447,-0.031837,0.958089
2.94,-0.066832,-0.045954,0.988213
2.95,0.011847,0.064433,0.997702
2.96,0.048712,-0.006058,0.963574
2.97,-0.034473,-0.048082,0.978274
2.98,-0.044567,0.031384,1.010122
2.99,0.06838,0.025487,0.967655
3.0,-0.012798,-0.042512,0.964451
3.01,-0.063991,-0.024606,0.994081
3.02,0.048878,0.055387,0.989867
3.03,0.058281,-0.02301,0.961554
3.04,-0.055001,-0.048888,0.982361
3.05,-0.007076,0.052829,1.004016
3.06,0.059596,0.021224,0.965358
3.07,-0.017836,-0.039813,0.963395
3.08,-0.057331,0.006532,1.00644
3.09,0.067389,0.044639,0.977935
3.1,0.025163,-0.030573,0.964425
3.11,-0.065543,-0.038004,0.994798
3.12,0.018484,0.057968,0.99308
3.13,0.056116,-0.009047,0.95538
3.14,-0.0453,-0.048703,0.976317
3.15,-0.037382,0.033652,1.003497
3.16,0.060189,0.030214,0.967364
3.17,0.003491,-0.039897,0.96553
3.18,-0.078411,-0.006314,1.000277
3.19,0.067554,0.054507,0.986625
3.2,0.033703,-0.023096,0.962258
3.21,-0.053321,-0.032932,0.980941
3.22,-0.008707,0.054016,1.005832
3.23,0.061631,0.009403,0.964245
3.24,-0.03084,-0.042306,0.968732
3.25,-0.059445,0.007851,1.004777
3.26,0.074543,0.0398,0.977669
3.27,0.020437,-0.033626,0.962047
3.28,-0.075645,-0.037443,0.988929
3.29,0.028831,0.06399,0.996714
3.3,0.046942,-0.007105,0.960862
3.31,-0.051694,-0.039799,0.97716
3.32,-0.025601,0.040467,1.002534
3.33,0.067391,0.029289,0.963441
3.34,-0.006346,-0.03151,0.964772
3.35,-0.082803,-0.015365,0.99909
3.36,0.052893,0.050029,0.985494
3.37,0.025275,-0.030689,0.961778
3.38,-0.060259,-0.04681,0.989411
3.39,0.010563,0.06446,1.004117
3.4,0.045136,0.003627,0.962513
3.41,-0.023405,-0.042554,0.963767
3.42,-0.04566,0.013571,1.004647
3.43,0.055559,0.049722,0.974748
3.44,0.002836,-0.054334,0.962301
3.45,-0.069321,-0.031535,0.999161
3.46,0.038031,0.068723,0.99192
3.47,0.043307,-0.012923,0.963586
3.48,-0.050708,-0.047912,0.980186
3.49,-0.033761,0.037988,0.997023
3.5,0.06078,0.017575,0.962246
3.51,-0.022486,-0.048057,0.971112
3.52,-0.074371,-0.002396,1.007708
3.53,0.061713,0.049675,0.977084
3.54,0.027654,-0.034062,0.963863
3.55,-0.06512,-0.032021,0.989897
3.56,0.012866,0.063771,0.997238
3.57,0.057227,-0.00106,0.960209
3.58,-0.023306,-0.054395,0.970348
3.59,-0.055874,0.040212,1.006445
3.6,0.047603,0.023307,0.970782
3.61,-0.003928,-0.039371,0.968441
3.62,-0.082382,-0.01737,1.000888
3.63,0.037782,0.059045,0.989749
3.64,0.038054,-0.01237,0.961415
3.65,-0.05874,-0.052718,0.976515
3.66,-0.013989,0.049374,1.003849
3.67,0.065645,0.01049,0.966817
3.68,-0.0055,-0.04231,0.968981
3.69,-0.065131,-0.003854,1.002738
3.7,0.063369,0.04075,0.979793
3.71,0.008694,-0.037709,0.965088
3.72,-0.077924,-0.034909,0.995911
3.73,0.018429,0.066536,0.997182
3.74,0.051141,-0.002203,0.962068
3.75,-0.051843,-0.041726,0.972506
3.76,-0.042072,0.035115,1.004899
3.77,0.07428,0.023537,0.963118
3.78,0.000194,-0.040113,0.9686
3.79,-0.067252,-0.016537,0.999795
3.8,0.051806,0.056544,0.987655
3.81,0.040346,-0.023076,0.958596
3.82,-0.056848,-0.040315,0.981136
3.83,6.3e-05,0.056838,1.002566
3.84,0.066676,-0.004443,0.964245
3.85,-0.032077,-0.056617,0.968812
3.86,-0.073544,0.004818,0.998989
3.87,0.058965,0.038037,0.973704
3.88,0.021651,-0.029601,0.961535
3.89,-0.068143,-0.033641,0.989888
3.9,0.039624,0.056904,0.994626
3.91,0.044876,-0.025059,0.964101
3.92,-0.043441,-0.051134,0.97388
3.93,-0.031768,0.039671,1.000973
3.94,0.054147,0.015665,0.966307
3.95,-0.010594,-0.044393,0.967371
3.96,-0.0726,-0.008051,1.003146
3.97,0.058996,0.044828,0.987519
3.98,0.028102,-0.027265,0.961629
3.99,-0.062224,-0.035125,0.981361
4.0,0.009601,0.068629,1.003243
4.01,0.062311,-0.002614,0.963439
4.02,-0.025018,-0.048634,0.972217
4.03,-0.056868,0.021035,1.005224
4.04,0.065701,0.031885,0.967082
4.05,0.013176,-0.048489,0.965645
4.06,-0.074407,-0.025701,0.992662
4.07,0.029934,0.058022,0.987768
4.08,0.0484,-0.016404,0.963257
4.09,-0.056602,-0.045429,0.978983
4.1,-0.03288,0.052328,1.007507
4.11,0.061572,0.013918,0.966821
4.12,-0.008603,-0.045461,0.963251
4.13,-0.073923,-0.014947,1.006721
4.14,0.07409,0.051185,0.984482
4.15,0.03244,-0.036391,0.960552
4.16,-0.063801,-0.032387,0.989423
4.17,0.002537,0.064415,1.000251
4.18,0.061706,0.0033,0.956269
4.19,-0.030674,-0.046559,0.973732
4.2,-0.049982,0.028928,1.006799
4.21,0.067522,0.028129,0.967818
4.22,0.002711,-0.043618,0.965944
4.23,-0.071685,-0.016418,0.99783
4.24,0.041319,0.060176,0.987878
4.25,0.035866,-0.015225,0.955044
4.26,-0.045566,-0.047528,0.984476
4.27,-0.020065,0.055158,1.003934
4.28,0.06026,0.017775,0.968049
4.29,-0.016093,-0.048857,0.967619
4.3,-0.059456,0.014652,1.007453
4.31,0.074705,0.047029,0.978397
4.32,0.027865,-0.024701,0.960604
4.33,-0.078517,-0.035473,0.98735
4.34,0.031029,0.065259,0.998257
4.35,0.064505,-0.005978,0.968362
4.36,-0.037579,-0.054756,0.972791
4.37,-0.041132,0.030961,1.006684
4.38,0.060293,0.022696,0.971505
4.39,-0.005005,-0.054474,0.962507
4.4,-0.075797,-0.013414,0.999778
4.41,0.051814,0.046981,0.991293
4.42,0.038405,-0.027556,0.961711
4.43,-0.053716,-0.046758,0.979136
4.44,-0.008062,0.07411,1.0008
4.45,0.070052,0.002222,0.963253
4.46,-0.033034,-0.047756,0.967075
4.47,-0.05808,0.005861,1.003565
4.48,0.071483,0.039695,0.9774
4.49,0.017419,-0.030655,0.957872
4.5,-0.071958,-0.034582,0.991171
4.51,0.035279,0.064529,0.995851
4.52,0.048433,-0.01309,0.963911
4.53,-0.038825,-0.050246,0.973552
4.54,-0.036209,0.045181,1.004444
4.55,0.060798,0.016007,0.969662
4.56,0.002746,-0.045945,0.964478
4.57,-0.069912,-0.020818,1.004986
4.58,0.058161,0.060224,0.984925
4.59,0.045063,-0.031011,0.961019
4.6,-0.051042,-0.045622,0.979098
4.61,0.001236,0.067031,0.998658
4.62,0.060863,0.012505,0.960906
4.63,-0.026573,-0.04441,0.968171
4.64,-0.057693,0.014216,1.004926
4.65,0.071468,0.040148,0.974689
4.66,0.014298,-0.036647,0.956614
4.67,-0.071613,-0.021531,0.994555
